Текст фразы,Эмоция,Augmented
ты повезти отпуск поехать хороший курорт ещё попасть самый удобный рейс время мочь выбраться,Зависть,"[""It's okay.""]"
находить такой надёжный человек работа сколько пробовать всё никак попасть коготь подходить,Зависть,['ENAHOKOKOTOTOTOTOTOTOTOCTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTO']
получиться столько сделать короткий срок свой дело успевать начать половина,Зависть,"[""I don't know what to do.""]"
снова получать хороший проект сидеть дело труд находить взять работа вечно подходить,Зависть,"[""I don't know what to do.""]"
ты удаться обновить квартира ещё сильно потратиться всё затратный выходить сдвигаться место,Зависть,"[""It's okay.""]"
постоянно везти такой мероприятие концерт сидеть дом просто глядеть твой фотография мочь поверить твой везение,Зависть,"[""I don't know what to do.""]"
снова умудриться получить повышение работа вокруг говорить повезти,Зависть,"[""Kennedy, I don't know what to do.""]"
купить новый машина восхищаться её выбор мечтать,Зависть,"[""Kryptonite isn't final, hooligan, hooligan, idiotic, idiotic, idiotic, idiotic, idiotic, idiotic, idiotic, idiotic, idiotic, idiotic, idiotic, idiotic, idiotic, idiotic, idiotic.""]"
постоянно путешествовать мир самый хороший фотография который зависть смотреть,Зависть,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
легко находить интересный хобби увлечение всё время теряться свой задумка мочь выбрать,Зависть,"[""I don't know what to do, but I don't know what to do.""]"
находить время тренировка отличный форма всё время откладывать занятие спорт,Зависть,['ENAHODITGA ENEENDIONIONIONTHIONIONIONIONONTHIONONDIONTHIONTONTOL']
выглядеть безупречно получать комплимент время елееле собирать свой вещь,Зависть,"[""I don't know what to do.""]"
легко находить новый друг поддерживать отношение мочь организовать встреча давний знакомый,Зависть,"[""I don't know what to do.""]"
умело справляться домашний дело успевать готовить семья мечтать порядок свой дом,Зависть,"['Oh, well, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay.']"
уверенно говорить публика бояться открывать рот,Зависть,"[""It's okay.""]"
делать такой классный фотосессия знать начать,Зависть,"[""I don't know what to do, but I don't know what to do.""]"
повезти шикарный дом,Зависть,['opohéduti formula_BAR_formula_BAR_formula_BAR_formula_BAR_formula_BAR_formula_BAR_']
слышать купить новый автомобиль выглядеть потрясающе,Зависть,"['Kryptonite is indecent, indecent, indecent, indecent, indecent, indecent, indecent, indecent and indecent.']"
снова уехать отпуск завидный время,Зависть,['* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * *']
находить самый выгодный сделка просто везти,Зависть,['ENAHOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTOTO']
казаться шикарный отпуск работа забота,Зависть,"[""I don't know what to do, but I don't know what to do.""]"
мочь поверить купить новый автомобиль просто невероятный,Зависть,"[""I don't know what to do.""]"
легко находить новый друг искать общий язык человек,Зависть,['An accident.']
знать секрет удача хотеть научиться этот,Зависть,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
сколько граница завидный успеть увидеть,Зависть,"[""I'll be right back.""]"
прекрасно справляться весь казаться такой успех,Зависть,"[""It's okay.""]"
извинить выйти понимать ты непросто постараться расстраиваться образоваться главное сдаваться,Сочувствие,"[""It's okay.""]"
очень сочувствовать ты знать сложно потерять близкий человек особенно внезапно нужный помощь рядом,Сочувствие,"[""I don't know what to do with you, but I don't know what to do.""]"
слово очень сочувствовать ты это действительно ужасный ситуация надеяться смочь справиться это,Сочувствие,"[""I don't know what to do with you, but I don't know what to do.""]"
понимать насколько расстроить понимать ты очень трудно знать готовый поддержать,Сочувствие,['Proponybruttg povernublicatta potonybrutgt tray opénénénguatg prénuta trans transenga trantono ynonattag outobottah opo do partubratg']
очень переживать знать сложный положение верить справиться,Сочувствие,"[""I don't know what to do.""]"
это действительно очень грустно знать сильно любить собака очень сочувствовать твой утрата,Сочувствие,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
понимать отчаяние это действительно сложный ситуация терять надежда всё наладиться,Сочувствие,"[""I don't know what to do.""]"
очень печально ты прийтись пройти это рада мочь положиться готовый помочь,Сочувствие,"[""I don't know what to do, but I don't know what to do.""]"
знать ты очень тяжело сдаваться очень сильный человек справиться весь,Сочувствие,"[""I don't know what to do.""]"
ты вместе преодолеть трудность готовый выслушать поддержать,Сочувствие,"[""I don't know what to do.""]"
ох бедняжка ты плохо,Сочувствие,['Wow. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .']
ужасно случиться попытаться ты помочь,Сочувствие,"['Oh, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay.']"
рада смочь это справиться,Сочувствие,"[""I don't know what to do.""]"
это ужасно держаться пожалуйста,Сочувствие,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
рада порядок,Сочувствие,['ora pa tra opopena dok']
ох жаль произойти,Сочувствие,['Ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh']
рада ты стать,Сочувствие,"[""It's okay.""]"
ужасно ты приходиться это пройти,Сочувствие,"['Whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------']"
ох бедняга устать давать помочь ты конспект,Сочувствие,"[""It's okay.""]"
ужасно заболеть надеяться быстро поправиться,Сочувствие,['----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------']
сочувствовать успевать экзамен смочь ты помочь,Сочувствие,"['Yes, of course.']"
жаль пройти тест расстраиваться получиться следующий,Сочувствие,"[""I don't know what to do.""]"
это ужасно надеяться сдача проект,Сочувствие,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
жаль смочь поехать конференция надеяться смочь поехать следующий,Сочувствие,"[""I don't know what to do.""]"
ужасно пропустить лекция мочь скинуть ты конспект,Сочувствие,"['Oh, well, okay, okay, okay, okay, okay, okay, okay.']"
жаль пропустить вечеринка сходить куданибудь,Сочувствие,"[""I don't know what to do, but I don't know what to do.""]"
ох бедняга ты тяжело волноваться поддержать,Сочувствие,"[""It's okay.""]"
сочувствовать мочь сдать работа вовремя надеяться преподаватель понять,Сочувствие,"[""I don't know what to do, but I don't know what to do.""]"
очень рада наслать сила обратиться к,Сочувствие,['----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------']
понимать это очень неприятно должный очень расстроить сделать мой сила облегчить ваш состояние стесняться задавать вопрос,Сочувствие,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
наверное очень переживать понимать трудно постараться сделать стать пожалуйста рассказать беспокоить,Сочувствие,"[""It's okay.""]"
это очень неприятный диагноз понимать наверное испытывать страх беспокойство поддержать объяснить интересовать вместе справиться ситуация,Сочувствие,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
представлять сложно наверное испытывать разный эмоция позволить помочь разобраться ваш состояние подобрать хороший курс лечение,Сочувствие,"[""It's okay.""]"
понимать тяжело наверное очень устать сделать помочь поправиться стесняться обратиться к чтоть беспокоить,Сочувствие,"[""It's okay.""]"
наверное очень устать этот исследование анализ сделать возможный помочь,Сочувствие,['ENE-E-E-E-E-E-E-E-E-E-E-N-E-N-OK-O-T-O-T-T-O']
понимать очень тревожный наверное бояться неизвестность поддержать,Сочувствие,"[""I don't know what to do.""]"
жаль приходиться проходить это держаться,Сочувствие,"[""I don't know what to do, but I don't know what to do.""]"
понимать сложно волноваться найти решение,Сочувствие,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
очень рада чувствовать это замечательный,Сочувствие,"['Whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------']"
сочувствовать это действительно неприятно образоваться,Сочувствие,"['Whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa.']"
это досадный сочувствовать помочь,Сочувствие,"['Whoa, whoa, whoa, whoa!']"
ужасно переживать это верить справиться,Сочувствие,"['Oh, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay.']"
очень рада наслать сила обратиться к,Сочувствие,['----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------']
жаль смочь пойти день рождение друг,Сочувствие,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
ужасно уронить телефон расстраиваться,Сочувствие,"['Oh, okay, okay, okay, okay, okay, okay, okay, okay.']"
понимать расстроить выиграть конкурс отчаиваться следующий повезти,Сочувствие,"[""I don't know what to do.""]"
ох обидно получить плохой оценка контрольный,Сочувствие,"['Oh, uh, uh, uh, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm, hmm.']"
жаль пропустить тренировка выздоравливать скорее,Сочувствие,"[""I don't know what to do, but I don't know what to do.""]"
очень рада чувствовать сильный,Сочувствие,['----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------']
понимать расстроить ты обязательно сходить кино,Сочувствие,"['oponíblicbutga naacbronbotta, that bubeyobottabo']"
очень обидно выиграть конкурс расстраиваться очень талантливый получиться,Сочувствие,"[""I don't know what to do.""]"
знать хотеть поиграть футбол друг заболеть скоро поправиться ты обязательно поиграть футбол,Сочувствие,"[""I don't know what to do.""]"
это очень неприятно мочь поехать море класс ты придумать чтонибыть интересный сделать дом,Сочувствие,"[""I don't know what to do.""]"
жаль смочь поиграть друг сегодня знать хотеть бывать такой надеяться скоро смочь поиграть они снова,Сочувствие,"[""I don't know what to do, but I don't want you to do it.""]"
ужасно пропустить корпоративный ужин волноваться ты рассказать,Сочувствие,"['Oh, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay.']"
сочувствовать смочь получить повышение уверить смочь достигнуть свой цель,Сочувствие,['♪ Laughter ♪ ♪ Laughter ♪ ♪ Laughter ♪']
понимать расстроить пропустить корпоратив надеяться скоро поправиться,Сочувствие,"[""I don't know what to do.""]"
очень жаль возникнуть такой сложность проект давать подумать помочь быстрый выйти ситуация обязательно подключить нужный специалист,Сочувствие,"['Oh, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay.']"
неприятно слышать задача затянуться изз такой обстоятельство возможно стоить обсудить возможный корректировка срок постараться свой сторона ускорить процесс,Сочувствие,"[""It's okay.""]"
понимать изз дополнительный задача понадобиться помощь отчёт сказать подключиться хотеться это негативно отразиться ваш графика,Сочувствие,"[""I don't know what to do.""]"
cейчас такой высокий нагрузка это непросто надеяться близкий время всё нормализоваться свой сторона готовый помочь смочь,Сочувствие,"[""I don't know what to do with you, but I don't know what to do.""]"
понимать это действительно неприятный ситуация особенно такой сжатый срок давать обсудить мочь помочь чтоть срочный,Сочувствие,"[""It's okay.""]"
очень жаль такой накладка подрядчик пожалуйста сообщить нужный поддержка документация,Сочувствие,"[""I don't know what to do.""]"
непросто работать условие возникать такой проблема оборудование нужный дополнительный помощь просто сказать,Сочувствие,"[""It's okay.""]"
сожалеть пойти планироваться постараться организовать необходимый помощь минимизация потеря давать обсудить действовать далёкий,Сочувствие,"[""I don't know what to do.""]"
ох это досадный понимать это сложно давать пошаговый проверить настройка найти решение,Сочувствие,"['Oh, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay.']"
извинить возникнуть такой трудность понимать насколько это неприятно сделать помочь решить проблема скорее,Сочувствие,"[""It's okay.""]"
понимать насколько важно решить проблема это действительно неприятно сталкиваться такой трудность сделать возможный помочь,Сочувствие,"[""It's okay.""]"
сочувствовать потратить время решение проблема понимать насколько это утомительно давать вместе попробовать найти решение,Сочувствие,"[""I don't know what to do.""]"
непростой ситуация понимать это добавлять стресс обсудить облегчить нагрузка готовый подстраховать часть задача,Сочувствие,"[""It's okay.""]"
очень обидно проект застопориться изз этот технический проблема постараться подключить тот помочь устранение сообщить нужный срочный поддержка,Сочувствие,"[""It's okay.""]"
жаль произойти держаться,Сочувствие,"[""I don't know what to do, but I don't know what to do.""]"
знать это тяжело,Сочувствие,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
надеяться ты удаться справиться это испытание,Сочувствие,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
заслуживать гораздо хороший больно,Сочувствие,"[""I don't know what to do, but I don't know what to do.""]"
тяжело слышать такой трудность правда сочувствовать,Сочувствие,"[""It's okay.""]"
понимать нелегко ты это ужасно несправедливый,Сочувствие,"[""I don't know what to do.""]"
это правда горько рядом,Сочувствие,"[""I don't know what to do.""]"
мочь поверить ты поступить столько сила вложить это несправедливый,Сочувствие,['ELEVENTH PRACTICAL ASSISTANCE']
вообще выдержать всё это столько переживание момент справиться,Сочувствие,"[""I don't know what to do.""]"
всё это один тащить вообще такой возможно это просто безумие,Сочувствие,"[""I don't know what to do, but I don't know what to do.""]"
жаль это случиться именно ты сколько терпеть это ужасно тяжело,Сочувствие,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
ты такой трудность стараться всё зря разочароваться,Сочувствие,"[""I don't know what to do, but I don't know what to do.""]"
это действительно подло сторона плохой делать мочь,Сочувствие,"[""I don't know what to do.""]"
предел почему всё снова свалиться это просто нечестно,Сочувствие,"[""I don't know what to do.""]"
ты удаваться ещё держаться всё вокруг назло обидно,Сочувствие,"[""It's okay.""]"
столько выдержать почему именно такой трудность просто укладываться голова,Сочувствие,"[""I don't know what to do.""]"
это очень болезненно слышать справляться это весь такой просто невозможно выдержать,Сочувствие,"['Ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, ooh, o']"
правда стараться солнышко это обидно получаться почему оценить твой старание,Сочувствие,"[""I don't know what to do.""]"
неужели снова порваться игрушка её любить такой мочь случиться,Сочувствие,"[""I don't know what to do, but I don't know what to do.""]"
ты страшно один сцена это непросто понимать ты тяжело,Сочувствие,"[""I don't know what to do, but I don't know what to do.""]"
весь вечер делать урок это столько время почему задать,Сочувствие,"[""I don't know what to do.""]"
весь день ждать бедненький ты наверное скучно простить долго,Сочувствие,"[""It's okay.""]"
почему сломаться машинка твой любимый давать попробовать её починить,Сочувствие,"[""I don't know what to do, but I don't know what to do.""]"
наверное очень тяжело это переживать жаль обернуться хотеться найти поддержка,Сочувствие,"[""I don't know what to do.""]"
столько сила вложить это результат оказаться другой очень сочувствовать знать ещё помочь,Сочувствие,"[""I don't want you to know that I don't want any of us to be like you.""]"
такой испытание это справляться очень жаль мочь подумать всё выйти,Сочувствие,"[""I don't know what to do, but I don't know what to do.""]"
наверное чувствовать подавить жаль случиться никто смочь поддержать её,Сочувствие,"[""I don't know what to do.""]"
сколько пережить год ещё это очень грустно всё навалиться,Сочувствие,"['Hurry, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay.']"
слишком многое она свалиться сразу жаль должный всё это тянуть один это несправедливый,Сочувствие,"[""I don't know what to do, but I don't want you to do it.""]"
произойти заслуживать спокойствие проблема жаль всё,Сочувствие,"[""I don't know what to do.""]"
стараться всё получиться идеально такой разочарование очень жаль выйти,Сочувствие,"[""I don't know what to do, but I don't know what to do.""]"
расстроить изз это её вино обидно она это несправедливый,Сочувствие,"[""I don't know what to do.""]"
усилие результат оказаться такой какой ожидать бедняга жаль достаться столько испытание,Сочувствие,"[""I don't know what to do, but I don't know what to do.""]"
наверное очень тяжело всё это время понимать это изматывать постараться помочь справиться,Сочувствие,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
жаль прийтись это пройти давать подумать улучшить ваш самочувствие,Сочувствие,"[""I don't know what to do, but I don't know what to do.""]"
жаль симптом отступать быть работать это вместе,Сочувствие,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
бояться ваш состояние требовать внимание предполагать понимать тяжело оставить один,Сочувствие,"[""It's okay.""]"
столько сила вложить лечение очень сочувствовать продолжить искать эффективный метод,Сочувствие,"[""I don't want you to know that I don't want any of them to be like you.""]"
наверное непросто такой объём задача жалко попасть такой ситуация,Сочувствие,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
стараться из сила сложно видеть усилие замечать,Сочувствие,"['Spaghetti, guys, guys.']"
грустно дать шанс повышение заслужить это упорный труд,Сочувствие,"[""I don't know what to do, but I don't know what to do.""]"
печально её проект отменить столько месяц работа столько вложить,Сочувствие,"[""I don't know what to do.""]"
трудиться это задание неделя поблагодарить это очень ранить,Сочувствие,"[""It's okay.""]"
обидно её заслуга остаться незамеченный действительно вложить туда душа,Сочувствие,"[""I don't know what to do, but I don't know what to do.""]"
очень грустно слышать весь ваш отдел попасть сокращение,Сочувствие,"['Oh, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on.']"
неприятно ваш идея отклонить столько обсуждение доработка,Сочувствие,"[""I don't know what to do.""]"
ужасно мочь поехать экскурсия класс хотеть,Сочувствие,"['- Whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------']"
знать искренне жаль такой неприятный ситуация,Сочувствие,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
неприятно оказаться ситуация рядом нужно,Сочувствие,"[""It's okay.""]"
простить ты приходиться это проходить пусть всё наладиться скорее,Сочувствие,"[""I don't know what to do.""]"
жаль оказаться наличный давать посмотреть возможность оплатить карта,Сочувствие,"[""I don't know what to do, but I don't know what to do.""]"
ужасно смочь найти нужный товар понимать расстроить давать вместе посмотреть чтонибыть похожий,Сочувствие,"['Oh, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay.']"
жаль ваш заказ дойти вовремя это действительно неудобно очень неприятно подводить срок понимать постараться сделать всё это исправить,Сочувствие,"[""I don't know what to do.""]"
грустно слышать качество товар оправдать ваш ожидание это действительно разочаровывать особенно ждать хороший сообщить склад проверить,Сочувствие,"[""I don't know what to do.""]"
очень жаль размер оказаться неудобный это неприятно постараться подобрать чтоть подойти переживать найти отличный вариант,Сочувствие,"['Oh, okay, okay, okay, okay, okay, okay, okay, okay.']"
сочувствовать наслать нужный товар это разочаровывать возможно мочь поискать чтоть похожий нужно подсказать привезти,Сочувствие,"[""I don't know what to do.""]"
жаль это слышать это обидно держаться,Сочувствие,"['Oh, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay.']"
понимать ты тяжело сочувствовать всё наладиться правда,Сочувствие,['oponíbligtabtag trai ptémujo do formula_BAR_']
повезти это неприятно очень ты сочувствовать,Сочувствие,"[""I don't know what to do.""]"
жаль получиться это несправедливый обязательно справиться,Сочувствие,"[""I don't know what to do, but I don't know what to do.""]"
обидно такой вещь случаться это тяжело пережить держаться рядом,Сочувствие,"[""I don't know what to do, but I don't know what to do.""]"
обидно такой вещь происходить держаться правда,Сочувствие,"[""It's okay.""]"
бедный человек наверное тяжело,Сочувствие,"[""I don't know what to do.""]"
нелегко жаль всё выйти,Сочувствие,['ENEEKKO MEALATION']
грустно слышать переживать трудность казаться всё идти хотеться,Сочувствие,"[""I don't know what to do.""]"
понимать чувствовать одиноко это тяжело жаль период,Сочувствие,['oponignonocco abboTo ptégo miälga opériod prériod']
понимать очень грустно видеть страдать жизнь бывать слишком тяжёлый хотеть поддержать,Сочувствие,"[""I don't know what to do.""]"
знать всё это тяжело печально видеть бороться этот чувство,Сочувствие,"['Oh, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.']"
больно видеть переживать изз ситуация это действительно просто хотеть знать рядом,Сочувствие,"[""It's okay.""]"
рассказывать свой переживание становиться грустно жизнь несправедливый это очень тяжело,Сочувствие,"[""I don't know what to do, but I don't want you to do it.""]"
слышать твой проблема печально знать стараться жизнь просто давать мы шанс,Сочувствие,"[""I don't know what to do, but I don't know what to do.""]"
тяжело слышать находить радость жизнь складываться мечтать это очень больно,Сочувствие,"[""It's okay.""]"
понимать чувствовать потерянный очень жаль тяжёлый момент вокруг,Сочувствие,['OPoníbligtaTagh formula_BAR_formula_BAR_formula_BAR_formula_BAR_formula_BAR_formula_BAR_formula_BAR_formula_BAR_formula_BAR_formula_BAR_']
чувствовать твой печаль это очень печально слово мочь выразить переживать,Сочувствие,"[""I don't know what to do.""]"
сегодня получить отличный новость идти план рада этот,Радость,"[""Oh, I don't know what to do, but I don't know what to do.""]"
наконецтый выходной расслабиться отдохнуть работа ждать,Радость,['ENAKOONELOTOTOTOTOTOTOTOTOTOTOTOTOTOOL']
